Timestamp,_YARDLEY:F,_YARDLEY:DF,_YARDLEY:S,_YARDLEY-PM1:UTKV,_YARDLEY-PA1:UTKVH,_VALDES:F,_VALDES:DF,_VALDES:S,_OVERBYE:UTKF,_OVERBYE:UTKDF,_OVERBYE:UTKS,_OVERBYE-PM1:UTKV,_OVERBYE-PA1:UTKVH,_VALDES-PM1:UTKV,_VALDES-PA1:UTKVH,_STATIONA:D1,_STATIONA:D1_Quality,_STATIONA:F,_STATIONA:F_Quality,_STATIONA:DF,_STATIONA:DF_Quality,_STATIONA:S,_STATIONA:S_Quality,_STATIONA-PM1:V,_STATIONA-PM1:V_Quality,_STATIONA-PA1:VH,_STATIONA-PA1:VH_Quality,_STATIONA-PM2:I,_STATIONA-PM2:I_Quality,_STATIONA-PA2:IH,_STATIONA-PA2:IH_Quality
16:18.0,59.9966,0,0,123.545,-6.336071,59.9954,0,0,59.9953,0,0,123.091,-96.22742,124.863,-57.78768,,,,,,,,,,,,,,,,
16:18.0,59.9964,0,0,123.566,-6.479311,59.9963,0,0,59.9965,0,0,123.113,-96.38785,124.885,-57.92519,0,Good,59.996,Good,0,Good,0,Good,113.0014,Good,50.86083,Good,0.1556864,Good,22.16635,Good
16:18.0,59.9968,0,0,123.545,-6.62255,59.9966,0,0,59.9972,0,0,123.091,-96.53109,124.907,-58.03978,,,,,,,,,,,,,,,,
16:18.0,59.9963,0,0,123.566,-6.742871,59.9968,0,0,59.9963,0,0,123.113,-96.69724,124.885,-58.16583,,,,,,,,,,,,,,,,
16:18.0,59.9976,0,0,123.588,-6.857463,59.9975,0,0,59.9983,0,0,123.156,-96.80038,124.907,-58.28043,,,,,,,,,,,,,,,,
16:18.0,59.997,0,0,123.566,-6.983514,59.9963,0,0,59.9971,0,0,123.134,-96.89778,124.885,-58.41793,,,,,,,,,,,,,,,,
16:18.0,59.9968,0,0,123.566,-7.109564,59.9965,0,0,59.9968,0,0,123.134,-97.01237,124.907,-58.54972,0,Good,59.997,Good,-0.01,Good,0,Good,113.0056,Good,50.2491,Good,0.1546988,Good,21.25051,Good
16:19.0,59.9966,0,0,123.545,-7.229886,59.9956,0,0,59.9969,0,0,123.113,-97.12123,124.885,-58.69296,,,,,,,,,,,,,,,,
16:19.0,59.996,0,0,123.545,-7.396043,59.9968,0,0,59.9969,0,0,123.113,-97.25874,124.863,-58.84192,,,,,,,,,,,,,,,,
16:19.0,59.9958,0,0,123.523,-7.539283,59.9959,0,0,59.9962,0,0,123.113,-97.40771,124.842,-58.98516,,,,,,,,,,,,,,,,
16:19.0,59.9962,0,0,123.523,-7.648145,59.9969,0,0,59.9964,0,0,123.091,-97.51085,124.798,-59.08829,,,,,,,,,,,,,,,,
16:19.0,59.9964,0,0,123.502,-7.779925,59.9968,0,0,59.9969,0,0,123.091,-97.64835,124.777,-59.22008,0,Good,59.996,Good,-0.01,Good,0,Good,112.9536,Good,49.5551,Good,0.1528444,Good,19.38452,Good
16:19.0,59.9955,0,0,123.502,-7.940353,59.9957,0,0,59.9956,0,0,123.091,-97.82597,124.755,-59.35186,,,,,,,,,,,,,,,,
16:19.0,59.9967,0,0,123.458,-8.077863,59.9963,0,0,59.9966,0,0,123.069,-97.95203,124.734,-59.50082,,,,,,,,,,,,,,,,
16:19.0,59.996,0,0,123.48,-8.232562,59.996,0,0,59.9958,0,0,123.069,-98.11245,124.777,-59.63834,,,,,,,,,,,,,,,,
16:19.0,59.9968,0,0,123.523,-8.375801,59.9966,0,0,59.9974,0,0,123.113,-98.23277,124.842,-59.78157,,,,,,,,,,,,,,,,
16:19.0,59.9962,0,0,123.545,-8.501852,59.9964,0,0,59.9964,0,0,123.113,-98.35883,124.863,-59.90763,0,Good,59.997,Good,0.01,Good,0,Good,113.0174,Good,48.90445,Good,0.151156,Good,17.47477,Good
16:20.0,59.9978,0,0,123.566,-8.604984,59.997,0,0,59.9977,0,0,123.156,-98.43903,124.928,-60.02222,,,,,,,,,,,,,,,,
16:20.0,59.9992,0,0,123.566,-8.679469,59.9984,0,0,59.9984,0,0,123.156,-98.53071,124.95,-60.0967,,,,,,,,,,,,,,,,
16:20.0,59.9995,0,0,123.566,-8.719576,59.9988,0,0,59.9994,0,0,123.156,-98.57082,124.95,-60.13681,,,,,,,,,,,,,,,,
16:20.0,59.9994,0,0,123.523,-8.782601,59.9995,0,0,59.9995,0,0,123.113,-98.62811,124.907,-60.18837,,,,,,,,,,,,,,,,
16:20.0,59.9984,0,0,123.502,-8.862815,59.9981,0,0,59.998,0,0,123.113,-98.68541,124.863,-60.23994,0,Good,59.998,Good,-0.01,Good,0,Good,112.929,Good,48.58105,Good,0.1519791,Good,18.43495,Good
16:20.0,59.9981,0,0,123.502,-8.954489,59.9987,0,0,59.9974,0,0,123.091,-98.80573,124.863,-60.28005,,,,,,,,,,,,,,,,
16:20.0,59.9981,0,0,123.458,-9.028973,59.9976,0,0,59.9984,0,0,123.091,-98.8573,124.842,-60.37172,,,,,,,,,,,,,,,,
16:20.0,59.997,0,0,123.437,-9.137835,59.9966,0,0,59.9963,0,0,123.026,-98.98335,124.798,-60.49204,,,,,,,,,,,,,,,,
16:20.0,59.9972,0,0,123.437,-9.263885,59.9971,0,0,59.997,0,0,123.048,-99.11513,124.82,-60.62955,,,,,,,,,,,,,,,,
16:21.0,59.9967,0,0,123.437,-9.384207,59.9966,0,0,59.9976,0,0,123.004,-99.21826,124.798,-60.74414,0,Good,59.997,Good,0.01,Good,0,Good,112.9284,Good,47.99939,Good,0.1537048,Good,17.1759,Good
16:21.0,59.9969,0,0,123.415,-9.510258,59.9959,0,0,59.9969,0,0,122.983,-99.32712,124.798,-60.88165,,,,,,,,,,,,,,,,
16:21.0,59.9961,0,0,123.437,-9.659226,59.996,0,0,59.9961,0,0,123.004,-99.46463,124.82,-61.03062,,,,,,,,,,,,,,,,
16:21.0,59.9971,0,0,123.437,-9.768088,59.9962,0,0,59.9971,0,0,123.004,-99.58495,124.842,-61.15667,,,,,,,,,,,,,,,,
16:21.0,59.9967,0,0,123.458,-9.88841,59.9963,0,0,59.9942,0,0,123.004,-99.75684,124.863,-61.27699,,,,,,,,,,,,,,,,
16:21.0,59.9961,0,0,123.458,-10.02592,59.9957,0,0,59.9966,0,0,123.026,-99.87716,124.885,-61.42023,0,Good,59.996,Good,0.01,Good,0,Good,112.9897,Good,47.35059,Good,0.1537048,Good,17.1759,Good
16:21.0,59.9968,0,0,123.458,-10.16916,59.9968,0,0,59.9967,0,0,123.004,-100.0089,124.907,-61.52337,,,,,,,,,,,,,,,,
16:21.0,59.9964,0,0,123.502,-10.3124,59.996,0,0,59.9958,0,0,123.026,-100.1522,124.928,-61.67807,,,,,,,,,,,,,,,,
16:21.0,59.9973,0,0,123.502,-10.41553,59.9971,0,0,59.9968,0,0,123.026,-100.2324,124.928,-61.76401,,,,,,,,,,,,,,,,
16:21.0,59.9969,0,0,123.502,-10.5072,59.9958,0,0,59.9967,0,0,123.048,-100.3527,124.928,-61.89006,,,,,,,,,,,,,,,,
16:21.0,59.9972,0,0,123.502,-10.64471,59.997,0,0,59.9965,0,0,123.069,-100.5074,124.95,-62.02184,0,Good,59.997,Good,0.01,Good,0,Good,113.043,Good,46.79256,Good,0.1529376,Good,16.22019,Good
16:22.0,59.9984,0,0,123.545,-10.72493,59.9975,0,0,59.9983,0,0,123.069,-100.5762,124.928,-62.11924,,,,,,,,,,,,,,,,
16:22.0,59.9961,0,0,123.523,-10.83379,59.9964,0,0,59.9963,0,0,123.069,-100.6965,124.928,-62.23383,,,,,,,,,,,,,,,,
16:22.0,59.9975,0,0,123.545,-10.93692,59.9972,0,0,59.9978,0,0,123.069,-100.7824,124.928,-62.33697,,,,,,,,,,,,,,,,
16:22.0,59.997,0,0,123.545,-11.0286,59.9972,0,0,59.9975,0,0,123.091,-100.8684,124.907,-62.44583,,,,,,,,,,,,,,,,
16:22.0,59.9972,0,0,123.523,-11.13746,59.9969,0,0,59.9976,0,0,123.091,-100.9429,124.885,-62.55469,0,Good,59.997,Good,-0.01,Good,0,Good,113.0148,Good,46.255,Good,0.1555032,Good,15.9454,Good
16:22.0,59.9967,0,0,123.545,-11.2807,59.9959,0,0,59.9953,0,0,123.091,-101.1377,124.907,-62.6922,,,,,,,,,,,,,,,,
16:22.0,59.9962,0,0,123.545,-11.4354,59.996,0,0,59.9967,0,0,123.069,-101.2809,124.885,-62.8469,,,,,,,,,,,,,,,,
16:22.0,59.9953,0,0,123.523,-11.59582,59.9956,0,0,59.9941,0,0,123.048,-101.4643,124.863,-63.00733,,,,,,,,,,,,,,,,
16:22.0,59.9966,0,0,123.545,-11.75625,59.996,0,0,59.9965,0,0,123.069,-101.6304,124.907,-63.16203,,,,,,,,,,,,,,,,
16:22.0,59.9948,0,0,123.545,-11.95106,59.9952,0,0,59.9947,0,0,123.069,-101.8424,124.928,-63.35683,0,Good,59.994,Good,0.01,Good,0,Good,113.0455,Good,45.33958,Good,0.1555032,Good,15.9454,Good
16:23.0,59.9944,0,0,123.566,-12.1344,59.9949,0,0,59.9943,0,0,123.091,-102.0028,124.95,-63.52299,,,,,,,,,,,,,,,,
16:23.0,59.9954,0,0,123.588,-12.31202,59.995,0,0,59.9945,0,0,123.091,-102.2034,124.971,-63.70061,,,,,,,,,,,,,,,,
16:23.0,59.9952,0,0,123.588,-12.48391,59.9953,0,0,59.9949,0,0,123.091,-102.3924,124.993,-63.86676,,,,,,,,,,,,,,,,
16:23.0,59.9946,0,0,123.588,-12.65007,59.9948,0,0,59.9951,0,0,123.091,-102.5586,124.971,-64.03865,,,,,,,,,,,,,,,,
16:23.0,59.9953,0,0,123.61,-12.82195,59.9956,0,0,59.9944,0,0,123.113,-102.7591,124.971,-64.19908,0,Good,59.995,Good,0,Good,0,Good,113.0477,Good,44.5095,Good,0.1580721,Good,15.67952,Good
16:23.0,59.9959,0,0,123.588,-12.97092,59.9951,0,0,59.9955,0,0,123.048,-102.9196,124.971,-64.34805,,,,,,,,,,,,,,,,
16:23.0,59.995,0,0,123.61,-13.16,59.9943,0,0,59.9957,0,0,123.048,-103.1086,124.95,-64.54858,,,,,,,,,,,,,,,,
16:23.0,59.9957,0,0,123.588,-13.3147,59.9955,0,0,59.9959,0,0,123.026,-103.2462,124.928,-64.72047,,,,,,,,,,,,,,,,
16:23.0,59.994,0,0,123.566,-13.52096,59.9942,0,0,59.9939,0,0,122.983,-103.4238,124.907,-64.92101,,,,,,,,,,,,,,,,
16:23.0,59.9956,0,0,123.566,-13.69285,59.9954,0,0,59.995,0,0,123.026,-103.6128,124.928,-65.09863,0,Good,59.995,Good,0,Good,0,Good,113.0117,Good,43.60811,Good,0.153496,Good,13.06932,Good
16:24.0,59.9958,0,0,123.566,-13.87047,59.9946,0,0,59.9958,0,0,123.026,-103.7847,124.928,-65.29343,,,,,,,,,,,,,,,,
16:24.0,59.9956,0,0,123.566,-14.08246,59.9948,0,0,59.9951,0,0,123.004,-104.0025,124.907,-65.50542,,,,,,,,,,,,,,,,
16:24.0,59.9956,0,0,123.566,-14.23143,59.995,0,0,59.9958,0,0,123.004,-104.14,124.885,-65.67731,,,,,,,,,,,,,,,,
16:24.0,59.9944,0,0,123.566,-14.40332,59.9945,0,0,59.995,0,0,123.004,-104.3061,124.885,-65.86639,,,,,,,,,,,,,,,,
16:24.0,59.9942,0,0,123.588,-14.60385,59.9948,0,0,59.9943,0,0,123.004,-104.5009,124.885,-66.05547,0,Good,59.995,Good,0.01,Good,0,Good,113.0038,Good,42.70637,Good,0.1555261,Good,11.88866,Good
16:24.0,59.9959,0,0,123.588,-14.75855,59.9958,0,0,59.995,0,0,123.026,-104.6957,124.928,-66.19297,,,,,,,,,,,,,,,,
16:24.0,59.9951,0,0,123.61,-14.93617,59.9957,0,0,59.9948,0,0,123.048,-104.8905,124.95,-66.3534,,,,,,,,,,,,,,,,
16:24.0,59.9964,0,0,123.61,-15.08514,59.996,0,0,59.9964,0,0,123.048,-105.0281,124.971,-66.49664,,,,,,,,,,,,,,,,
16:24.0,59.9957,0,0,123.631,-15.21119,59.9959,0,0,59.9961,0,0,123.048,-105.1598,124.993,-66.63988,,,,,,,,,,,,,,,,
16:24.0,59.9959,0,0,123.61,-15.38307,59.9963,0,0,59.9961,0,0,123.048,-105.2973,124.95,-66.78885,0,Good,59.996,Good,0.01,Good,0,Good,112.9509,Good,41.96339,Good,0.1523772,Good,11.11304,Good
16:25.0,59.9964,0,0,123.588,-15.50913,59.9965,0,0,59.996,0,0,123.048,-105.4177,124.95,-66.89771,,,,,,,,,,,,,,,,
16:25.0,59.9969,0,0,123.631,-15.62372,59.9964,0,0,59.9964,0,0,123.048,-105.5437,124.928,-67.02949,,,,,,,,,,,,,,,,
16:25.0,59.9955,0,0,123.588,-15.78988,59.9955,0,0,59.9956,0,0,123.004,-105.7041,124.907,-67.18992,,,,,,,,,,,,,,,,
16:25.0,59.9963,0,0,123.566,-15.92739,59.9955,0,0,59.996,0,0,123.004,-105.8474,124.863,-67.36181,,,,,,,,,,,,,,,,
16:25.0,59.9952,0,0,123.566,-16.08208,59.996,0,0,59.9952,0,0,122.983,-105.9964,124.842,-67.51077,0,Good,59.995,Good,0,Good,0,Good,112.9207,Good,41.19158,Good,0.1523772,Good,11.11304,Good
16:25.0,59.9943,0,0,123.545,-16.28835,59.9946,0,0,59.9943,0,0,123.004,-106.2198,124.842,-67.68266,,,,,,,,,,,,,,,,
16:25.0,59.9954,0,0,123.545,-16.48315,59.9951,0,0,59.9959,0,0,123.004,-106.4089,124.82,-67.88319,,,,,,,,,,,,,,,,
16:25.0,59.9949,0,0,123.545,-16.68942,59.9946,0,0,59.9949,0,0,123.004,-106.6209,124.82,-68.09519,,,,,,,,,,,,,,,,
16:25.0,59.9939,0,0,123.545,-16.90141,59.9935,0,0,59.9943,0,0,123.004,-106.8329,124.798,-68.30719,,,,,,,,,,,,,,,,
16:25.0,59.994,0,0,123.545,-17.12487,59.9926,0,0,59.9935,0,0,123.004,-107.062,124.82,-68.56502,0,Good,59.993,Good,0.01,Good,0,Good,112.9564,Good,40.08505,Good,0.1545144,Good,9.950626,Good
16:26.0,59.9935,0,0,123.545,-17.37697,59.9932,0,0,59.9931,0,0,123.004,-107.3027,124.82,-68.80566,,,,,,,,,,,,,,,,
16:26.0,59.9933,0,0,123.566,-17.61188,59.9933,0,0,59.9916,0,0,122.983,-107.5663,124.842,-69.05203,,,,,,,,,,,,,,,,
16:26.0,59.9939,0,0,123.588,-17.83533,59.9945,0,0,59.9943,0,0,123.004,-107.7668,124.885,-69.25829,,,,,,,,,,,,,,,,
16:26.0,59.9937,0,0,123.566,-18.0416,59.9934,0,0,59.9935,0,0,123.026,-107.9788,124.885,-69.47602,,,,,,,,,,,,,,,,
16:26.0,59.9946,0,0,123.588,-18.26505,59.9947,0,0,59.9947,0,0,123.048,-108.1851,124.907,-69.67655,0,Good,59.995,Good,0,Good,0,Good,112.9976,Good,39.02038,Good,0.1540754,Good,8.972627,Good
16:26.0,59.995,0,0,123.61,-18.45413,59.9952,0,0,59.9934,0,0,123.069,-108.4314,124.907,-69.85417,,,,,,,,,,,,,,,,
16:26.0,59.9953,0,0,123.61,-18.63175,59.9954,0,0,59.9953,0,0,123.048,-108.6148,124.907,-70.02033,,,,,,,,,,,,,,,,
16:26.0,59.9945,0,0,123.631,-18.82082,59.9948,0,0,59.9945,0,0,123.069,-108.8038,124.907,-70.2094,,,,,,,,,,,,,,,,
16:26.0,59.9945,0,0,123.588,-18.97552,59.9949,0,0,59.9947,0,0,123.069,-108.9643,124.863,-70.39275,,,,,,,,,,,,,,,,
16:26.0,59.9931,0,0,123.61,-19.22762,59.9939,0,0,59.9939,0,0,123.069,-109.2106,124.885,-70.61047,0,Good,59.994,Good,-0.01,Good,0,Good,113.0242,Good,38.06281,Good,0.1536816,Good,7.989327,Good
16:27.0,59.995,0,0,123.61,-19.42243,59.9941,0,0,59.9959,0,0,123.091,-109.3883,124.885,-70.83393,,,,,,,,,,,,,,,,
16:27.0,59.9945,0,0,123.588,-19.63442,59.9937,0,0,59.9949,0,0,123.091,-109.5716,124.885,-71.05165,,,,,,,,,,,,,,,,
16:27.0,59.994,0,0,123.566,-19.87506,59.9935,0,0,59.9938,0,0,123.069,-109.8409,124.885,-71.32095,,,,,,,,,,,,,,,,
16:27.0,59.9934,0,0,123.566,-20.09852,59.9937,0,0,59.9942,0,0,123.048,-110.03,124.885,-71.53294,,,,,,,,,,,,,,,,
16:27.0,59.9923,0,0,123.545,-20.35635,59.9918,0,0,59.9922,0,0,123.026,-110.2821,124.863,-71.80223,0,Good,59.992,Good,0,Good,0,Good,112.9786,Good,36.83653,Good,0.1533333,Good,7.001267,Good
16:27.0,59.9923,0,0,123.545,-20.65429,59.9927,0,0,59.9923,0,0,123.048,-110.5915,124.842,-72.06006,,,,,,,,,,,,,,,,
16:27.0,59.9925,0,0,123.545,-20.9465,59.9916,0,0,59.9926,0,0,123.069,-110.878,124.842,-72.35227,,,,,,,,,,,,,,,,
16:27.0,59.9914,0,0,123.523,-21.23297,59.9916,0,0,59.9915,0,0,123.069,-111.1415,124.82,-72.63875,,,,,,,,,,,,,,,,
16:27.0,59.9928,0,0,123.545,-21.49653,59.993,0,0,59.993,0,0,123.113,-111.4108,124.842,-72.89658,,,,,,,,,,,,,,,,
16:27.0,59.9927,0,0,123.545,-21.73718,59.9932,0,0,59.9933,0,0,123.113,-111.64,124.842,-73.14295,0,Good,59.994,Good,0.02,Good,0,Good,113.023,Good,35.52217,Good,0.1556864,Good,5.906141,Good
16:28.0,59.9934,0,0,123.545,-21.97209,59.9934,0,0,59.9941,0,0,123.113,-111.8692,124.885,-73.39505,,,,,,,,,,,,,,,,
16:28.0,59.9937,0,0,123.566,-22.18981,59.9942,0,0,59.9933,0,0,123.134,-112.0926,124.885,-73.61851,,,,,,,,,,,,,,,,
16:28.0,59.9944,0,0,123.566,-22.40181,59.9943,0,0,59.9945,0,0,123.113,-112.2874,124.907,-73.82477,,,,,,,,,,,,,,,,
16:28.0,59.9954,0,0,123.566,-22.57943,59.995,0,0,59.995,0,0,123.134,-112.465,124.907,-74.00812,,,,,,,,,,,,,,,,
16:28.0,59.9958,0,0,123.566,-22.73985,59.9952,0,0,59.9963,0,0,123.113,-112.6369,124.885,-74.19146,0,Good,59.995,Good,0.01,Good,0,Good,113.0074,Good,34.55801,Good,0.1556864,Good,5.906141,Good
16:28.0,59.9953,0,0,123.566,-22.9232,59.9955,0,0,59.9948,0,0,123.134,-112.8489,124.885,-74.35189,,,,,,,,,,,,,,,,
16:28.0,59.9958,0,0,123.566,-23.05498,59.9953,0,0,59.9968,0,0,123.156,-112.9807,124.885,-74.52378,,,,,,,,,,,,,,,,
16:28.0,59.9947,0,0,123.566,-23.22687,59.9949,0,0,59.9948,0,0,123.156,-113.1469,124.885,-74.70712,,,,,,,,,,,,,,,,
16:28.0,59.994,0,0,123.588,-23.41594,59.9943,0,0,59.9946,0,0,123.156,-113.3016,124.885,-74.8962,,,,,,,,,,,,,,,,
16:29.0,59.9949,0,0,123.566,-23.59356,59.9946,0,0,59.9944,0,0,123.156,-113.4792,124.885,-75.08527,0,Good,59.996,Good,0,Good,0,Good,113.0638,Good,33.73261,Good,0.1552278,Good,3.945186,Good
16:29.0,59.9955,0,0,123.61,-23.77118,59.9951,0,0,59.9956,0,0,123.199,-113.6854,124.907,-75.28581,,,,,,,,,,,,,,,,
